Source_File,filename,Z-score
Q67ZM7_zscores.csv,q67zA_vs_6t0vB.txt,3.5
A1RSF4_zscores.csv,a1rsA_vs_3wdlB.txt,2.4
O54003_zscores.csv,o540A_vs_6t0vB.txt,3.6
A0JND9_zscores.csv,a0jnA_vs_3f2bA.txt,3.6
A0A8B6XWW9_zscores.csv,a0a8A_vs_3f2bA.txt,4.8
P87170_zscores.csv,p871A_vs_4ff3A.txt,3.2
A1RXB2_zscores.csv,a1rxA_vs_6t0vB.txt,2.9
A5IVK3_zscores.csv,a5ivA_vs_3amtA.txt,2.9
A2BN92_zscores.csv,a2bnA_vs_6t0vB.txt,2.8
A7J392_zscores.csv,a7j3A_vs_6t0vB.txt,3.3
Q2FUA9_zscores.csv,q2fuA_vs_3wdlB.txt,34.8
A0A482WD11_zscores.csv,a0a4A_vs_6ig2D.txt,4.9
F4IRQ5_zscores.csv,f4irA_vs_3amtA.txt,4.3
A6UQM0_zscores.csv,a6uqA_vs_3amtA.txt,3.2
A0KMM4_zscores.csv,a0kmA_vs_7tgkD.txt,6.5
A0L1Z0_zscores.csv,a0l1A_vs_7tgkD.txt,9.9
F4JSH1_zscores.csv,f4jsA_vs_3wdlB.txt,2.8
A7J3A0_zscores.csv,a7j3A_vs_6t0vB.txt,3.6
Q2N2K0_zscores.csv,q2n2A_vs_3amtA.txt,3.1
Q2N2K3_zscores.csv,q2n2A_vs_4ff3A.txt,4.4
O18956_zscores.csv,o189A_vs_3f2bA.txt,4.6
A3CXJ6_zscores.csv,a3cxA_vs_4ff3A.txt,2.8
Q8RM03_zscores.csv,q8rmA_vs_6ci7C.txt,3.2
Q753I3_zscores.csv,q753A_vs_4ff3A.txt,3.5
A0A314KSQ4_zscores.csv,a0a3A_vs_3amtA.txt,3.7
A0B742_zscores.csv,a0b7A_vs_4ff3A.txt,2.3
Q05B50_zscores.csv,q05bA_vs_8dcdA.txt,5.3
D3Z5S8_zscores.csv,d3z5A_vs_6ig2D.txt,3.6
A4ZCW6_zscores.csv,a4zcA_vs_6t0vB.txt,4.0
A0A6J1SUS3_zscores.csv,a0a6A_vs_6ig2D.txt,3.0
Q8PUQ1_zscores.csv,q8puA_vs_3wdlB.txt,38.6
Q5P5G4_zscores.csv,q5p5A_vs_3wdlB.txt,5.2
A0KAZ7_zscores.csv,a0kaA_vs_2xanA.txt,4.0
Q5JIZ8_zscores.csv,q5jiA_vs_3wdlB.txt,41.0
A0B8Y7_zscores.csv,a0b8A_vs_6t0vB.txt,2.8
Q2N2K1_zscores.csv,q2n2A_vs_4ff3A.txt,3.4
Q54E29_zscores.csv,q54eA_vs_8dcdA.txt,4.3
A0QFB7_zscores.csv,a0qfA_vs_4ff3A.txt,2.8
Q6I581_zscores.csv,q6i5A_vs_3amtA.txt,3.4
B6YXQ1_zscores.csv,b6yxA_vs_3wdlB.txt,40.9
Q9JIX9_zscores.csv,q9jiA_vs_3f2bA.txt,3.3
A7GRZ1_zscores.csv,a7grA_vs_4ff3A.txt,2.1
A0PQT1_zscores.csv,a0pqA_vs_8dcdA.txt,3.0
A2SQ88_zscores.csv,a2sqA_vs_6t0vB.txt,3.5
A6U4F3_zscores.csv,a6u4A_vs_4ff3A.txt,2.3
A8FGT0_zscores.csv,a8fgA_vs_4ff3A.txt,2.3
P46904_zscores.csv,p469A_vs_8dcdA.txt,2.7
F4ISV6_zscores.csv,f4isA_vs_8dcdA.txt,4.6
P53215_zscores.csv,p532A_vs_6t0vB.txt,4.1
E1BPN0_zscores.csv,e1bpA_vs_6t0vB.txt,2.0
A0QZ42_zscores.csv,a0qzA_vs_6t0vB.txt,2.5
A6QJR2_zscores.csv,a6qjA_vs_3amtA.txt,2.9
A0A2B4RNI3_zscores.csv,a0a2A_vs_6ig2D.txt,4.0
A0B624_zscores.csv,a0b6A_vs_3amtA.txt,2.7
Q5P5G5_zscores.csv,q5p5A_vs_6ci7C.txt,2.6
A0A1J6KGJ9_zscores.csv,a0a1A_vs_3amtA.txt,3.3
A4G0F9_zscores.csv,a4g0A_vs_3amtA.txt,3.6
A0KQK0_zscores.csv,a0kqA_vs_7tgkD.txt,10.1
A4FZ97_zscores.csv,a4fzA_vs_3amtA.txt,5.1
P74653_zscores.csv,p746A_vs_6t0vB.txt,5.0
A2SPE0_zscores.csv,a2spA_vs_3amtA.txt,2.7
A1K4K7_zscores.csv,a1k4A_vs_2xanA.txt,4.7
A5ULV0_zscores.csv,a5ulA_vs_3amtA.txt,4.9
A5UM10_zscores.csv,a5umA_vs_3amtA.txt,3.2
B0BNK8_zscores.csv,b0bnA_vs_6ig2D.txt,4.0
A0JWY8_zscores.csv,a0jwA_vs_8dcdA.txt,2.3
Q9SKE2_zscores.csv,q9skA_vs_3amtA.txt,3.4
A1JRX0_zscores.csv,a1jrA_vs_7tgkD.txt,6.2
A0K832_zscores.csv,a0k8A_vs_7tgkD.txt,10.3
Q2N2K2_zscores.csv,q2n2A_vs_6t0vB.txt,4.1
Q12382_zscores.csv,q123A_vs_4ff3A.txt,2.4
A0A3M6TIF0_zscores.csv,a0a3A_vs_6ig2D.txt,4.9
